url;titre;chaine;vues;abonnes;ratio_vues_abonnes;duree_s;date;age_jours;score;transcript
https://www.youtube.com/watch?v=tkAOBvPL5jY;My Husband Pays Every Bill Yet I Feel Like That’s not Enough! | True Story;Tr4cyxo;968027;4280;226.17;807;2026-07-07T17:00:26.000Z;50;780;oui
https://www.youtube.com/watch?v=zpsd_XiStpA;Becoming;Lauretta Ifechukwu TV;38573;441;87.47;1383;2026-08-17;9;362;oui
https://www.youtube.com/watch?v=vxBe7CrUCdU;Modern Women Are FINALLY Realizing How Dating Has Changed;Forgotten Origins;13317;206;64.65;1505;2026-08-22T13:50:18.000Z;4;256;oui
https://www.youtube.com/watch?v=ENIQyX7N6Oo;Jordan Peterson: Love Is Not Enough;Mind Pattern Lab;1764;27;65.33;112;2026-08-21T17:25:35.000Z;5;201;oui
https://www.youtube.com/watch?v=dRevLDDin5I;Forced Into an Arranged Marriage—3 Months Later, the Cold CEO Finally Lost Control! 😱💋;PeachShine Drama;1540433;41500;37.12;6750;2026-08-05T12:58:26.000Z;21;182;oui
https://www.youtube.com/watch?v=hN5aFUAYZiQ;REVEAL YOUR LOVE STORY !! #lovelife #quiz #personalitytest #aesthetic;Cantaloupe Quizzes;628;3;209.33;471;2026-05-06T20:51:07.000Z;111;170;oui
https://www.youtube.com/watch?v=caFZhrYUGS8;Free Tinder Gold Promo Code 2026 🎁 How to Get FREE Tinder Gold / Platinum or Plus!;dmenken;6254;131;47.74;212;2026-07-30T15:10:42.000Z;27;135;oui
https://www.youtube.com/watch?v=7YU4R7szXUw&list=RD7YU4R7szXUw&start_radio=1;The Night I Stopped Believing in Love | Sad Songs 2026 | Depressing Songs That Make You Cry;Sakura Rain Reverie;9721;139;69.94;25324;2026-05-21T03:03:03.000Z;97;95;oui
https://www.youtube.com/watch?v=zQs_40_JWno&list=RDzQs_40_JWno&start_radio=1;We Loved Each Other at the Wrong Time;Uwera Pretty - Topic;4648;144;32.28;240;2026-08-01T14:41:16.000Z;25;90;non
https://www.youtube.com/watch?v=Y13-qj2HXms&list=RDY13-qj2HXms&start_radio=1;Sia & Damian Marley – We Loved Each Other at the Wrong Time (Cinematic Reggae Pop | Emotional 2026);Dream Beat Studio;82871;881;94.06;250;2026-03-31T13:50:29.000Z;148;90;oui
https://www.youtube.com/watch?v=ihhuvvlsJLQ;Are Dating Apps Designed to Keep You Single?;Dr. Economist;91;2;45.5;1041;2026-08-16;10;79;oui
https://www.youtube.com/watch?v=4Hzc-UCjBiM&list=RD4Hzc-UCjBiM&start_radio=1;Il y a des blessures que même mes parents ne connaissent pas, adorations puissantes, Euloge HOUNSOU;Gospel_music 75;945793;17500;54.05;276;2026-04-21T20:22:28.000Z;126;79;oui
https://www.youtube.com/watch?v=PqS794FlAgE&list=RDPqS794FlAgE&start_radio=1;Choisis-toi quand ça ne va pas( @Phoenixguyy );Jay Lyrixen (HVM);221920;3510;63.23;210;2026-04-16T02:34:08.000Z;132;78;oui
https://www.youtube.com/watch?v=pvl4_qAPgu8;ON NE TOMBE PAS AMOUREUX PAR HASARD ! Masterclass avec Florentine d'Aulnois Wang @lespaceducouple;ADNtv - SANTÉ;358312;6560;54.62;2441;2026-04-10T14:12:49.000Z;138;66;oui
https://www.youtube.com/watch?v=0dDCaRlKFzE;Sortida : l'appli 100% gratuite pour sortir et se faire des amis à Toulouse;SortidaToulouse;163;3;54.33;61;2026-06-29T22:49:13.000Z;57;64;oui
https://www.youtube.com/watch?v=pW_AQbTsS3w;The Psychology Of People Who Fall For Emotionally UNAVAILABLE Partners;PsychologyRelationship_;331;6;55.17;696;2026-06-08T18:13:34.000Z;79;58;oui
https://www.youtube.com/watch?v=MMlCFNOuEtw;3 Hours of Dating Psychology to Fall Asleep To;Relationship Psychology While You Sleep;48249;2050;23.54;10910;2026-06-21T20:30:39.000Z;65;53;oui
https://www.youtube.com/watch?v=hTZgWfGWtbA;La Psychologie de l'amour:5 Choses Qui Arrivent Quand Deux Personnes Sont Faites L'une Pour L'autre;Cœurs Vrais;10341;337;30.69;282;2026-06-08T18:00:32.000Z;79;51;oui
https://www.youtube.com/watch?v=Pxp91NU-MHc;He Gave Up Everything for Her… But She Chose Her First Love Instead 😳💔;Mini Short Drama;322058;14200;22.68;7334;2026-06-07T09:30:24.000Z;80;51;oui
https://www.youtube.com/watch?v=B-IK-N9dE9w;late bloomer diaries: first relationship advice i wish i had;kate 💝;220417;4100;53.76;1001;2026-03-22T04:35:36.000Z;157;50;oui
https://www.youtube.com/watch?v=9pOfk_E--hg;The 10 Best Dating Apps for Serious Relationships 2026! ❤️😊;The Relationship Shop;268;7;38.29;221;2026-06-28T21:00:02.000Z;58;49;oui
https://www.youtube.com/watch?v=N5sRMOu2O2w;J’ai rencontré un enquêteur de personnalité;Monsieur Caméléon;107;4;26.75;1622;2026-08-10T15:26:48.000Z;16;46;oui
https://www.youtube.com/watch?v=_pkSiUTYYP4&t=561s;L'EFFET BARNUM : Comment votre cerveau vous fait CROIRE aux profils de personnalité;Le Sage Curieux;319;5;63.8;880;2026-05-04T20:44:00.000Z;113;45;oui
https://www.youtube.com/watch?v=ltqdyESxfLE;Tinder vs Spiice : Lequel Vaut Vraiment le Coup ? (Comparatif Honnête 2026);MARGOT DATING;221;7;31.57;206;2026-07-12T16:06:06.000Z;45;45;oui
https://www.youtube.com/watch?v=F0NufRC80_A;Comment se séparer quand on a des enfants et 20 ans de vie commune;Karine MRG;1430;83;17.23;1058;2026-08-04T16:00:17.000Z;22;43;oui
https://www.youtube.com/watch?v=rNgRcPNESkM;OurTime Review: I Tested It;DatingNews;738;14;52.71;135;2026-05-04T12:50:59.000Z;114;43;oui
https://www.youtube.com/watch?v=kbUvsGOXGNQ;Spiice Avis : J'ai testé, je vous dis TOUT ! (Rencontre, Prix, Gratuit ?, App...);Comparatif Expert;5766;63;91.52;831;2026-02-11T14:56:13.000Z;196;39;oui
https://www.youtube.com/watch?v=DqtQTGKCyuo;LOVE AND OTHER PROBLEMS - Nigerian Movies 2026 Latest Full Movies;Blessing Obasi TV;2357843;288000;8.19;7842;2026-07-12T18:00:29.000Z;45;32;oui
https://www.youtube.com/watch?v=eucaDURZ9Fs;Voilà ce que Dit ta Personnalité si tu Aimes ne Jamais Sortir " – Thomas d’Ansembourg;Parlons d’Amour;669;54;12.39;1648;2026-08-16T16:02:20.000Z;10;31;oui
https://www.youtube.com/watch?v=rKgkpXMLcLM;💋3-Month Contract Love → After Split He Craves Her Kiss, Crosses The Whole City To Find Her！;PureBerry Drama;139187;16800;8.28;7758;2026-07-29T16:00:40.000Z;28;31;oui
https://www.youtube.com/watch?v=o-NfBSB0bWU;Does Your Crush Love You Back? 💖💗🥰💞 | Fun Personality Test Quiz;PsycheWhy;1733;107;16.2;193;2026-07-09T22:00:14.000Z;47;31;oui
https://www.youtube.com/watch?v=ZQ_qk2yO6Go;The Ex-Wife Has Found the Father and His Two Children – What Is Her Scheme?;Gia Đình Kiên Cường;28947;4490;6.45;2534;2026-08-25T12:00:07.000Z;1;29;oui
https://www.youtube.com/watch?v=h4_v64WNf6c;【FULL】She Gave Up The Mafia Throne For Him… He Regretted It 7 Years Later！#drama;Whisper of Romantic;982716;158000;6.22;7204;2026-08-01T17:00:32.000Z;25;28;oui
https://www.youtube.com/watch?v=WJaBSoYbvrY;Ce qui pousse les personnes toxiques à cesser de s’en prendre à vous;Esprit et Mental;88252;7540;11.7;208;2026-06-19T01:25:52.000Z;68;27;oui
https://www.youtube.com/watch?v=sNBhCC2Wa0s;Full video: Soldier returns home after 3 years  helps a young girl and becomes a single father.;Triệu Luca;2208;298;7.41;6939;2026-08-25T13:00:32.000Z;1;25;oui
https://www.youtube.com/watch?v=hiSA8lNcPmE&list=RDhiSA8lNcPmE&start_radio=1;We Love Each Other… But We Can't Be Together 💔 | Emotional Song | AEVORIN Music | #sadlovesong;AEVORIN Music;665;11;60.45;283;2026-03-04T13:30:41.000Z;175;24;oui
https://www.youtube.com/watch?v=69PNK1Ti6EA;What Type of Love Story Suits You The Most? 🥰💖 Quiz | Personality Test | For Everyone 🫶🏻;World of Muchi ;494;42;11.76;262;2026-08-02T12:11:59.000Z;24;24;oui
https://www.youtube.com/watch?v=rQtXFCBVDik;LOVE I CAN'T LET GO - (NEW MOVIE) OMECHE OKO,VICTORY MICHEAL latest 2026 nigerian movies;Chukwudubem TV;2722960;257000;10.6;6266;2026-05-23T17:01:31.000Z;95;24;oui
https://www.youtube.com/watch?v=uYmr8rf8eBA;"I Stopped Believing In Love," She Whispered... The Cowboy Said, "Then Start Believing In Me.";Romance of the Wild West;201;18;11.17;1844;2026-08-18T21:00:34.000Z;7;24;oui
https://www.youtube.com/watch?v=TgFFlO20CY8;IF TWO PEOPLE ARE DESTINED TO BE TOGETHER, THIS ONE THING ALWAYS HAPPENS | CARL JUNG;COSMIC THREADS;513673;14200;36.17;1789;2026-02-08T02:00:06.000Z;199;23;oui
https://www.youtube.com/watch?v=Hcp5nXMsmUM;Tu fais peur aux gens sans le savoir..... voilà POURQUOI 👀;Âme forte ;104912;3330;31.51;331;2026-03-01T20:13:52.000Z;177;22;oui
https://www.youtube.com/watch?v=mNMas_3peZs;Do Opposites Really Attract?;Pause & Think Studio;140;9;15.56;463;2026-07-19T11:31:06.000Z;38;22;oui
https://www.youtube.com/watch?v=BQm3ghCUfIQ;Why You Attract the Wrong People, It's Not RANDOM!;Emily Voss Psychology;4621;281;16.44;1055;2026-05-21T14:00:36.000Z;97;21;oui
https://www.youtube.com/watch?v=uUuWCsRsxNI;Single Women vs Single Men: Why Is Modern Dating So Broken?;Counterpoint;186835;34000;5.5;4798;2026-07-24;33;20;oui
https://www.youtube.com/watch?v=wP3XtCsU_NM;Why Some People Are Chronically Single (Psychology Explaine);Reddit After Dark 🦜;944;11;85.82;284;2026-01-09T01:12:25.000Z;229;20;oui
